Lake,AWQ_ID,Citation,Town,SampleDate,Latitude,Longitude,SampleDepth,Depth_units,Transparency,Transparency_units,Month,Year,Comment
Mashapaug Pond,15085,6,UNION,8/17/2023,42.0143,-72.132,,,3.5,m,8,2023,
Lake Kenosia,15627,6,DANBURY,7/20/2023,41.3824,-73.4995,,,1.2,m,7,2023,
Saugatuck Reservoir,15635,6,WESTON,9/12/2023,41.251,-73.3503,,,3.1,m,9,2023,
Batterson Park Pond,16005,6,FARMINGTON,8/24/2023,41.71049,-72.78725,,,1.15,m,8,2023,
East Twin Lake (Washinee Lake),16007,6,SALISBURY,8/31/2023,42.0253,-73.3829,,,4.8,m,8,2023,
Powers Lake,16010,6,EAST LYME,7/18/2023,41.3925,-72.2503,,,2.85,m,7,2023,
West Hill Pond,16165,6,NEW HARTFORD,8/15/2023,41.877022,-73.043053,,,4.75,m,8,2023,
Ball Pond,18148,6,NEW FAIRFIELD,6/13/2023,41.462953,-73.523721,,,2.5,m,6,2023,
Black Pond,18150,6,MIDDLEFIELD,6/28/2023,41.524516,-72.743136,,,3.65,m,6,2023,
Coventry (Wangumbaug) Lake,18153,6,COVENTRY,8/8/2023,41.770584,-72.321969,,,4.95,m,8,2023,
Crystal Lake,18154,6,ELLINGTON,6/22/2023,41.935883,-72.372335,,,4.65,m,6,2023,
Highland Lake,18156,6,WINCHESTER,8/10/2023,41.911818,-73.09428,,,3.2,m,8,2023,
Mount Tom Pond,18650,6,LITCHFIELD,8/1/2023,41.70075,-73.2777,,,2.25,m,8,2023,
Pataganset Lake (East Lyme),18934,6,EAST LYME,7/27/2023,41.37493,-72.22935,,,1.8,m,7,2023,
Lake Waramaug,18947,6,WASHINGTON,8/3/2023,41.69186,-73.34863,,,1.45,m,8,2023,
Lake Terramuggus (Marlborough),18953,6,MARLBOROUGH,7/25/2023,41.63612,-72.46783,,,4.55,m,7,2023,
Mamanasco Lake,19337,6,RIDGEFIELD,6/15/2023,41.3195,-73.52684,,,1.75,m,6,2023,
Quonnipaug Lake,19356,6,GUILFORD,7/11/2023,41.39256,-72.69741,,,1.6,m,7,2023,
Pattaconk Reservoir,20053,6,CHESTER,7/13/2023,41.40927,-72.52472,,,2.5,m,7,2023,
Killingly Pond,20230,6,KILLINGLY,8/22/2023,41.863,-71.794,,,4.6,m,8,2023,
Breakneck Pond,20842,6,UNION,8/29/2023,42.01744,-72.11182,,,1.65,m,8,2023,
Silver Lake,14527,6,BERLIN,9/7/2022,41.5808,-72.7723,,,0.9,m,9,2022,
Lake Chaffee,15624,6,ASHFORD,8/24/2022,41.9394,-72.1953,,,1.4,m,8,2022,
Lake Hayward,15626,6,EAST HADDAM,9/12/2022,41.51817,-72.3297,,,3.3,m,9,2022,
Lake Beseck,15706,6,MIDDLEFIELD,7/28/2022,41.5168,-72.73,,,0.8,m,7,2022,
Gardner Lake,16008,6,MONTVILLE,7/21/2022,41.5075,-72.222,,,4.15,m,7,2022,
Uncas Pond,16012,6,LYME,8/18/2022,41.37401,-72.31691,,,4.9,m,8,2022,
Amos Lake,16030,6,PRESTON,8/30/2022,41.5162,-71.9747,,,2.6,m,8,2022,
Halls Pond,16150,6,EASTFORD,9/8/2022,41.843286,-72.108528,,,2.75,m,9,2022,
Wononscopomuc Lake,16154,6,SALISBURY,7/19/2022,41.9553,-73.4448,,,1.75,m,7,2022,
Roseland Lake,16184,6,WOODSTOCK,9/15/2022,41.95,-71.951,,,0.95,m,9,2022,
Lake Zoar,16188,6,NEWTOWN,6/28/2022,41.39695,-73.1885,,,3.05,m,6,2022,
Lake Zoar,16188,6,NEWTOWN,8/16/2022,41.39695,-73.1885,,,2.45,m,8,2022,
Bashan Lake,18149,6,EAST HADDAM,8/25/2022,41.490909,-72.411045,,,4.95,m,8,2022,
Bantam Lake (Litchfield/Morris),18950,6,MORRIS,9/1/2022,41.69983,-73.22082,,,1.5,m,9,2022,
Billings Lake,19304,6,NORTH STONINGTON,6/14/2022,41.50885,-71.87383,,,3.6,m,6,2022,
Billings Lake,19304,6,NORTH STONINGTON,6/30/2022,41.50885,-71.87383,,,3.2,m,6,2022,
Mohawk Pond,19343,6,CORNWALL,7/14/2022,41.81067,-73.29258,,,3.95,m,7,2022,
Rogers Lake,19359,6,OLD LYME,8/4/2022,41.36428,-72.30144,,,3.3,m,8,2022,
Halls Pond (Willington),19803,6,WILLINGTON,6/21/2022,41.857094,-72.298297,,,2.6,m,6,2022,
Halls Pond (Willington),19803,6,WILLINGTON,8/9/2022,41.857094,-72.298297,,,2.65,m,8,2022,
Whites Pond,20763,6,SUFFIELD,8/2/2022,41.99586,-72.72646,,,1.35,m,8,2022,
Crystal Lake,20764,6,WINCHESTER,7/26/2022,41.92505,-73.1037,,,5.5,m,7,2022,
UNK (Big Spectacle Meadow Pond),20765,6,DURHAM,7/12/2022,41.44547,-72.62091,,,0.85,m,7,2022,
Wononscopomuc Lake,16154,6,SALISBURY,6/28/2021,41.9553,-73.4448,,,4.6,m,6,2021,
Wononscopomuc Lake,16154,6,SALISBURY,7/28/2021,41.9553,-73.4448,,,2.9,m,7,2021,
Wononscopomuc Lake,16154,6,SALISBURY,9/14/2021,41.9553,-73.4448,,,3.9,m,9,2021,
Lake Quassapaug (Middlebury),19662,6,MIDDLEBURY,8/19/2021,41.533623,-73.152379,,,3.9,m,8,2021,
Pachaug Pond,20560,6,GRISWOLD,7/15/2021,41.570716,-71.918253,,,1.6,m,7,2021,
Wononscopomuc Lake,16154,6,SALISBURY,7/22/2020,41.9553,-73.4448,,,4.2,m,7,2020,
Wononscopomuc Lake,16154,6,SALISBURY,8/25/2020,41.9553,-73.4448,,,4.5,m,8,2020,
Woodbridge Lake,19995,6,GOSHEN,8/25/2020,41.80086,-73.24929,,,4,m,8,2020,
Pocotopaug Lake,14614,6,EAST HAMPTON,7/24/2019,41.5961,-72.5081,,,0.8,m,7,2019,
Pocotopaug Lake,14615,6,EAST HAMPTON,7/24/2019,41.5999,-72.4953,,,0.75,m,7,2019,
Mashapaug Pond,15085,6,UNION,6/6/2019,42.0143,-72.132,,,3.9,m,6,2019,
Mashapaug Pond,15085,6,UNION,7/31/2019,42.0143,-72.132,,,4.55,m,7,2019,
Beach Pond,15621,6,VOLUNTOWN,8/1/2019,41.5777,-71.7909,,,4.6,m,8,2019,
Eagleville Pond,15868,6,COVENTRY,8/8/2019,41.7851,-72.2816,,,0.9,m,8,2019,
Powers Lake,16010,6,EAST LYME,7/17/2019,41.3925,-72.2503,,,3.7,m,7,2019,
Uncas Lake,16012,6,LYME,7/2/2019,41.3728,-72.3188,,,0.8,m,7,2019,
Amos Lake,16030,6,PRESTON,7/23/2019,41.5162,-71.9747,,,2.95,m,7,2019,
Wononscopomuc Lake,16154,6,SALISBURY,6/25/2019,41.9553,-73.4448,,,3.7,m,6,2019,
Wononscopomuc Lake,16154,6,SALISBURY,8/14/2019,41.9553,-73.4448,,,4.25,m,8,2019,
West Hill Pond,16165,6,NEW HARTFORD,7/18/2019,41.877022,-73.043053,,,4.9,m,7,2019,
Highland Lake,18156,6,WINCHESTER,7/18/2019,41.911818,-73.09428,,,3.45,m,7,2019,
Beachdale Pond,18929,6,VOLUNTOWN,8/1/2019,41.5793,-71.86052,,,0.95,m,8,2019,
Avery Pond,19300,6,PRESTON,8/1/2019,41.493,-71.979,,,1.2,m,8,2019,
Glasgo Pond,19319,6,GRISWOLD,7/23/2019,41.55804,-71.88815,,,0.9,m,7,2019,
Green Fall Reservoir,19321,6,VOLUNTOWN,8/6/2019,41.53057,-71.80975,,,1.6,m,8,2019,
Lake of Isles,19330,6,NORTH STONINGTON,7/17/2019,41.48946,-71.94853,,,1.9,m,7,2019,
Long Pond,19334,6,NORTH STONINGTON,7/9/2019,41.44948,-71.94939,,,2.85,m,7,2019,
Morey Pond,19346,6,UNION,6/6/2019,41.96,-72.192,,,2.7,m,6,2019,
Morey Pond,19346,6,UNION,7/31/2019,41.96,-72.192,,,3.05,m,7,2019,
