"MonitoringLocationIdentifier","MonitoringLocationName.x","MonitoringLocationName.y","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure"
"CTVOLMON-CT-1-1","Lake Lillinonah, Fairfield County, CT, USA","Lake Lillinonah, Fairfield County, CT, USA","Lake",41.477192,-73.345514
"CTVOLMON-CT-1-3","Lake Lillinonah, Fairfield County, CT, USA","Lake Lillinonah, Fairfield County, CT, USA","Lake",41.491866,-73.382647
"CTVOLMON-CT-1-50","Lake Naraneka, Fairfield County, CT, USA","Lake Naraneka, Fairfield County, CT, USA","Lake",41.324285,-73.506249
"CTVOLMON-CT-1-55","Lake Naraneka, Fairfield County, CT, USA","Lake Naraneka, Fairfield County, CT, USA","Lake",41.324491,-73.50858
"CTVOLMON-CT-11-19","Long Pond, New London County, CT, USA","Long Pond, New London County, CT, USA","Lake",41.440045,-71.945039
"CTVOLMON-CT-11-5","Pattagansett Lake, New London County, CT, USA","Pattagansett Lake, New London County, CT, USA","Lake",41.373717,-72.229267
"CTVOLMON-CT-11-6","Long Pond, New London County, CT, USA","Long Pond, New London County, CT, USA","Lake",41.44113,-71.94506
"CTVOLMON-CT-11-7","Long Pond, New London County, CT, USA","Long Pond, New London County, CT, USA","Lake",41.43945,-71.94587
"CTVOLMON-CT-15-12","Ashford Lake, Windham County, CT, USA","Ashford Lake, Windham County, CT, USA","Lake",41.9004,-72.1281
"CTVOLMON-CT-15-20","Ashford Lake, Windham County, CT, USA","Ashford Lake, Windham County, CT, USA","Lake",41.898882,-72.125849
"CTVOLMON-CT-3-18","Manitook Lake, Hartford County, CT, USA","Manitook Lake, Hartford County, CT, USA","Lake",41.983579,-72.793919
"CTVOLMON-CT-3-20","Silver Lake, Hartford County, CT, USA","Silver Lake, Hartford County, CT, USA","Lake",41.579496,-72.772834
"CTVOLMON-CT-3-5","Rainbow Pond, Hartford County, CT, USA","Rainbow Pond, Hartford County, CT, USA","Lake",41.894441,-72.723504
"CTVOLMON-CT-3-6","Rainbow Pond, Hartford County, CT, USA","Rainbow Pond, Hartford County, CT, USA","Lake",41.899941,-72.716373
"CTVOLMON-CT-3-7","Rainbow Pond, Hartford County, CT, USA","Rainbow Pond, Hartford County, CT, USA","Lake",41.905957,-72.709243
"CTVOLMON-CT-3-8","Rainbow Pond, Hartford County, CT, USA","Rainbow Pond, Hartford County, CT, USA","Lake",41.912705,-72.704203
"CTVOLMON-CT-3-9","Rainbow Pond, Hartford County, CT, USA","Rainbow Pond, Hartford County, CT, USA","Lake",41.91513,-72.695786
"CTVOLMON-CT-9-11","Hitchcock Lake, New Haven County, CT, USA","Hitchcock Lake, New Haven County, CT, USA","Lake",41.567669,-72.953434
"CTVOLMON-CT-9-12","Hitchcock Lake, New Haven County, CT, USA","Hitchcock Lake, New Haven County, CT, USA","Lake",41.559846,-72.953045
"NALMS-F205246","Bantam Lake, Litchfield County, CT, USA","Bantam Lake, Litchfield County, CT, USA","Lake",41.704,-73.222
