MonitoringLocationIdentifier,MonitoringLocationName,LatitudeMeasure,LongitudeMeasure,ComID,MaxDepth
NALMS-F205058,"Alexander Lake, Windham County, CT, USA",41.859,-71.901,122356299,13.7
CTVOLMON-CT-5-1,"Bantam Lake, Litchfield County, CT, USA",41.71087,-73.21155,122986238,7.7
CTVOLMON-CT-5-2,"Bantam Lake, Litchfield County, CT, USA",41.70056,-73.22102,122986238,7.7
CTVOLMON-CT-5-3,"Bantam Lake, Litchfield County, CT, USA",41.70773,-73.22638,122986238,7.7
CTVOLMON-CT-5-4,"Bantam Lake, Litchfield County, CT, USA",41.69015,-73.22728,122986238,7.7
CTVOLMON-CT-7-1,"Bashan Lake, Middlesex County, CT, USA",41.494921,-72.423162,123014500,14.8
CTVOLMON-CT-7-2,"Beseck Lake, Middlesex County, CT, USA",41.511873,-72.730622,123009804,7
CTVOLMON-CT-7-3,"Beseck Lake, Middlesex County, CT, USA",41.511525,-72.729476,123009804,7
NALMS-F205628,"Bolton Lakes, Tolland County, CT, USA",41.813,-72.427,116115456,5.9
CTVOLMON-CT-11-20,"Bush Pond, New London County, CT, USA",41.43811,-71.94304,121937214,3.6
CTVOLMON-CT-11-8,"Bush Pond, New London County, CT, USA",41.438155,-71.942977,121937214,3.6
NALMS-F212867,"Hurds Lake, Tolland County, CT, USA",42.02,-72.406,123000794,3.5
NALMS-F206018,"Lake Candlewood, Fairfield County, CT, USA",41.501,-73.453,122963825,12.2
CTVOLMON-CT-11-4,"Long Pond, New London County, CT, USA",41.44896,-71.94916,121937190,20.1
NALMS-F208702,"Mansfield Hollow Lake, Tolland County, CT, USA",41.776,-72.183,116129112,5.5
NALMS-F209639,"Pattagansett Lake, New London County, CT, USA",41.373,-72.231,121945395,9.6
NALMS-F1770266,"Rainbow Pond, Hartford County, CT, USA",41.915,-72.693,123631308,10.7
NALMS-F212663,"Wangumbaug Lake, Tolland County, CT, USA",41.773,-72.324,116098840,11.1
NALMS-F211827,"Washinee Lake, Litchfield County, CT, USA",42.017,-73.398,122986085,6.4
CTVOLMON-CT-5-6,"Washining Lake, Litchfield County, CT, USA",42.02581,-73.38319,122986080,24.4
CTVOLMON-CT-9-10,"West Lake, New Haven County, CT, USA",41.33953,-72.73406,122155641,5
CTVOLMON-CT-15-17,"West Thompson Lake, Windham County, CT, USA",41.95476,-71.90316,122365526,9.8
CTVOLMON-CT-15-18,"West Thompson Lake, Windham County, CT, USA",41.94804,-71.90246,122365526,9.8
NALMS-F212146,"Williams Pond, New London County, CT, USA",41.638,-72.309,121932681,3
NALMS-F212226,"Wononskopomuc Lake, Litchfield County, CT, USA",41.956,-73.446,122972770,32.9
